,index,name,page_image,title,page_link,cluster_name,cluster_proba
2443,2443,해귀,https://shared-comic.pstatic.net/thumb/webtoon/762786/4/thumbnail_202x120_70dc306a-a41f-425c-865c-b824d3106e3a.jpg,4화,https://comic.naver.com/webtoon/detail?titleId=762786&no=4&weekday=wed,15,0.99999094
2444,2444,해귀,https://shared-comic.pstatic.net/thumb/webtoon/762786/5/thumbnail_202x120_6d6fea9f-7d56-4a91-bcf0-9b76582d56fc.jpg,5화,https://comic.naver.com/webtoon/detail?titleId=762786&no=5&weekday=wed,6,1.0
2445,2445,해귀,https://shared-comic.pstatic.net/thumb/webtoon/762786/6/thumbnail_202x120_5cb8d335-afa4-4ea6-b64d-41e8379cf302.jpg,6화,https://comic.naver.com/webtoon/detail?titleId=762786&no=6&weekday=wed,15,0.99936813
2446,2446,해귀,https://shared-comic.pstatic.net/thumb/webtoon/762786/7/thumbnail_202x120_3390f17a-8783-415a-81df-5176c848413f.jpg,7화,https://comic.naver.com/webtoon/detail?titleId=762786&no=7&weekday=wed,0,0.95643705
2447,2447,해귀,https://shared-comic.pstatic.net/thumb/webtoon/762786/8/thumbnail_202x120_083e1203-cc80-42ed-811b-a02a630cc0fd.jpg,8화,https://comic.naver.com/webtoon/detail?titleId=762786&no=8&weekday=wed,15,1.0
2448,2448,해귀,https://shared-comic.pstatic.net/thumb/webtoon/762786/9/thumbnail_202x120_0e8c28a8-0d70-47f3-bf03-c74c636eeee5.jpg,9화,https://comic.naver.com/webtoon/detail?titleId=762786&no=9&weekday=wed,0,1.0
2449,2449,해귀,https://shared-comic.pstatic.net/thumb/webtoon/762786/10/thumbnail_202x120_d96ea39e-4c87-4366-b745-f940c2391c11.jpg,10화,https://comic.naver.com/webtoon/detail?titleId=762786&no=10&weekday=wed,7,0.9999975
2450,2450,나만 보여!,https://shared-comic.pstatic.net/thumb/webtoon/763308/1/thumbnail_202x120_822e8778-1f93-4e6d-b60e-1e34afed32ac.jpg,1화,https://comic.naver.com/webtoon/detail?titleId=763308&no=1&weekday=sun,3,0.6539037
2451,2451,나만 보여!,https://shared-comic.pstatic.net/thumb/webtoon/763308/2/thumbnail_202x120_d1497b56-f0d5-4dfb-861d-4eb2462ee0fd.jpg,2화,https://comic.naver.com/webtoon/detail?titleId=763308&no=2&weekday=sun,9,0.96079355
2452,2452,나만 보여!,https://shared-comic.pstatic.net/thumb/webtoon/763308/3/thumbnail_202x120_5ff644b8-8d62-4d61-8fa2-30824967b21e.jpg,3화,https://comic.naver.com/webtoon/detail?titleId=763308&no=3&weekday=sun,15,0.7244158
2453,2453,나만 보여!,https://shared-comic.pstatic.net/thumb/webtoon/763308/4/thumbnail_202x120_188c3843-20a2-44cf-9d80-89c6d596acc9.jpg,4화,https://comic.naver.com/webtoon/detail?titleId=763308&no=4&weekday=sun,0,0.8905606
2454,2454,나만 보여!,https://shared-comic.pstatic.net/thumb/webtoon/763308/5/thumbnail_202x120_485c3163-c5e7-4df5-a684-6aa287e76346.jpg,5화,https://comic.naver.com/webtoon/detail?titleId=763308&no=5&weekday=sun,4,1.0
2455,2455,나만 보여!,https://shared-comic.pstatic.net/thumb/webtoon/763308/6/thumbnail_202x120_7269562d-268a-4db1-aa08-9da1ce4ba181.jpg,6화,https://comic.naver.com/webtoon/detail?titleId=763308&no=6&weekday=sun,12,0.9994784
2456,2456,나만 보여!,https://shared-comic.pstatic.net/thumb/webtoon/763308/7/thumbnail_202x120_17983942-0b65-4e39-8425-64938e162742.jpg,7화,https://comic.naver.com/webtoon/detail?titleId=763308&no=7&weekday=sun,4,0.9999969
2457,2457,나만 보여!,https://shared-comic.pstatic.net/thumb/webtoon/763308/8/thumbnail_202x120_21ed8f87-76fb-445f-8153-f8c5d1f4afa5.jpg,8화,https://comic.naver.com/webtoon/detail?titleId=763308&no=8&weekday=sun,11,0.9999664
2458,2458,나만 보여!,https://shared-comic.pstatic.net/thumb/webtoon/763308/9/thumbnail_202x120_7e45f681-2228-46e0-95fb-ac6a7983d6ef.jpg,9화,https://comic.naver.com/webtoon/detail?titleId=763308&no=9&weekday=sun,16,0.99817395
2459,2459,나만 보여!,https://shared-comic.pstatic.net/thumb/webtoon/763308/10/thumbnail_202x120_536acb1a-6b9f-43b8-831e-258c3a9cbcf2.jpg,10화,https://comic.naver.com/webtoon/detail?titleId=763308&no=10&weekday=sun,3,0.99919814
2460,2460,뱀은 꽃을 먹는가,https://shared-comic.pstatic.net/thumb/webtoon/763851/1/thumbnail_202x120_faeb054e-5e57-4e35-be9f-7ecdb9663e4f.jpg,프롤로그,https://comic.naver.com/webtoon/detail?titleId=763851&no=1&weekday=wed,2,0.7455147
2461,2461,뱀은 꽃을 먹는가,https://shared-comic.pstatic.net/thumb/webtoon/763851/2/thumbnail_202x120_cfc09bcd-1bda-49f7-8b0a-702ec4eda9a4.jpg,1화,https://comic.naver.com/webtoon/detail?titleId=763851&no=2&weekday=wed,18,0.9999999
2462,2462,뱀은 꽃을 먹는가,https://shared-comic.pstatic.net/thumb/webtoon/763851/3/thumbnail_202x120_899eaebb-ec89-4596-86cf-a2daa83903cd.jpg,2화,https://comic.naver.com/webtoon/detail?titleId=763851&no=3&weekday=wed,2,0.9748444
2463,2463,뱀은 꽃을 먹는가,https://shared-comic.pstatic.net/thumb/webtoon/763851/4/thumbnail_202x120_67834bc2-2294-4952-886a-fba4e6dde868.jpg,3화,https://comic.naver.com/webtoon/detail?titleId=763851&no=4&weekday=wed,15,0.9950989
2464,2464,뱀은 꽃을 먹는가,https://shared-comic.pstatic.net/thumb/webtoon/763851/5/thumbnail_202x120_a43a6aeb-736a-4ae9-a048-001689e90b80.jpg,4화,https://comic.naver.com/webtoon/detail?titleId=763851&no=5&weekday=wed,2,0.99456656
2465,2465,뱀은 꽃을 먹는가,https://shared-comic.pstatic.net/thumb/webtoon/763851/6/thumbnail_202x120_8e6eaa86-ac27-4b15-b3ed-8231e0970b7a.jpg,5화,https://comic.naver.com/webtoon/detail?titleId=763851&no=6&weekday=wed,15,0.6269793
2466,2466,뱀은 꽃을 먹는가,https://shared-comic.pstatic.net/thumb/webtoon/763851/7/thumbnail_202x120_fd2ed1c4-23f8-4407-b079-f10723ea4916.jpg,6화,https://comic.naver.com/webtoon/detail?titleId=763851&no=7&weekday=wed,0,0.9999995
2467,2467,뱀은 꽃을 먹는가,https://shared-comic.pstatic.net/thumb/webtoon/763851/8/thumbnail_202x120_bf09b6db-1efb-47f8-855b-7eeff9f7d31f.jpg,7화,https://comic.naver.com/webtoon/detail?titleId=763851&no=8&weekday=wed,15,0.83767426
